player,player_num,position,height,weight,birthdate,country,experience,college,team_stat_ranking,age,games,games_started,minutes_played,field_goals,field_goal_attempts,field_goal_percent,points3,points3_attempts,points3_percent,points2,points2_attempts,points2_percent,effective_field_goal_percent,free_throws,free_throw_attempts,free_throw_percent,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,fouls,points,team_salary_ranking,salary,team
Jeff Withey,24,center,84,231,3/7/90,us,2,University of Kansas,13,25,51,10,658,87,162,0.537,0,2,0,87,160,0.544,0.537,43,59,0.729,56,117,173,20,21,53,28,75,217,15,947276,UTA
Joe Ingles,2,small forward,80,226,10/2/87,au,1,NA,9,28,81,2,1241,124,291,0.426,81,210,0.386,43,81,0.531,0.565,13,18,0.722,19,132,151,96,55,4,65,98,342,9,2250000,UTA
Raul Neto,25,point guard,73,179,5/19/92,br,0,NA,6,23,81,53,1499,180,418,0.431,64,162,0.395,116,256,0.453,0.507,52,70,0.743,17,103,120,174,62,2,109,122,476,13,1000000,UTA
Rodney Hood,5,shooting guard,80,206,10/20/92,us,1,Duke University,2,23,79,79,2541,408,972,0.42,161,449,0.359,247,523,0.472,0.503,172,200,0.86,38,229,267,213,73,16,125,202,1149,11,1348440,UTA
Rudy Gobert,27,center,85,245,6/26/92,fr,2,NA,4,23,61,60,1932,198,354,0.559,0,0,NA,198,354,0.559,0.559,161,283,0.569,208,460,668,91,45,135,114,163,557,12,1175880,UTA
Shelvin Mack,8,point guard,75,203,4/22/90,us,4,Butler University,10,25,28,27,879,142,320,0.444,35,98,0.357,107,222,0.482,0.498,36,49,0.735,11,95,106,149,26,3,81,65,355,8,2433333,UTA
Tibor Pleiss,21,center,87,256,11/2/89,de,0,NA,15,26,12,0,82,11,25,0.44,0,2,0,11,23,0.478,0.44,2,2,1,6,9,15,2,1,2,8,19,24,6,3000000,UTA
Trevor Booker,33,power forward,80,228,11/25/87,us,5,Clemson University,5,28,79,2,1632,190,388,0.49,12,41,0.293,178,347,0.513,0.505,71,106,0.67,166,286,452,84,59,41,81,169,463,4,4775000,UTA
Trey Burke,3,point guard,73,191,11/12/92,us,2,University of Michigan,8,23,64,0,1366,262,634,0.413,88,256,0.344,174,378,0.46,0.483,67,82,0.817,18,94,112,148,35,6,80,86,679,7,2658240,UTA
Trey Lyles,41,power forward,82,234,11/5/95,ca,0,University of Kentucky,7,20,80,33,1382,191,436,0.438,49,128,0.383,142,308,0.461,0.494,57,82,0.695,59,240,299,59,26,18,65,114,488,10,2239800,UTA
Alan Anderson,6,shooting guard,78,220,10/16/82,us,6,Michigan State University,16,33,13,0,192,21,59,0.356,12,37,0.324,9,22,0.409,0.458,11,15,0.733,1,26,27,14,4,1,2,25,65,9,4000000,WAS
Bradley Beal,3,shooting guard,77,207,6/28/93,us,3,University of Florida,6,22,55,35,1708,359,799,0.449,105,271,0.387,254,528,0.481,0.515,135,176,0.767,41,147,188,162,54,11,112,117,958,5,5694674,WAS
DeJuan Blair,45,center,79,270,4/22/89,us,6,University of Pittsburgh,15,26,29,0,218,28,68,0.412,0,1,0,28,67,0.418,0.412,5,13,0.385,20,37,57,11,8,2,15,53,61,NA,NA,WAS
Drew Gooden,90,power forward,82,250,9/24/81,us,13,University of Kansas,13,34,30,0,305,33,103,0.32,7,41,0.171,26,62,0.419,0.354,9,14,0.643,28,57,85,13,8,11,13,40,82,10,3300000,WAS
Garrett Temple,17,small forward,78,195,5/8/86,us,5,Louisiana State University,5,29,80,43,1951,201,505,0.398,89,258,0.345,112,247,0.453,0.486,91,125,0.728,36,176,212,140,69,18,64,195,582,14,1100602,WAS
Gary Neal,14,shooting guard,76,210,10/3/84,us,5,Towson University,9,31,40,2,807,151,325,0.465,41,100,0.41,110,225,0.489,0.528,47,55,0.855,11,72,83,47,20,1,29,55,390,12,2100000,WAS
J.J. Hickson,21,center,81,242,9/4/88,us,7,North Carolina State University,18,27,15,0,131,25,46,0.543,0,1,0,25,45,0.556,0.543,19,44,0.432,17,28,45,7,5,2,9,12,69,16,366337,WAS
Jared Dudley,1,power forward,79,225,7/10/85,us,8,Boston College,4,30,81,41,2098,233,487,0.478,100,238,0.42,133,249,0.534,0.581,72,98,0.735,54,232,286,170,75,18,80,190,638,8,4250000,WAS
Jarell Eddie,8,small forward,79,218,10/30/91,us,0,Virginia Polytechnic Institute and State University,17,24,26,0,147,20,65,0.308,15,47,0.319,5,18,0.278,0.423,8,8,1,2,21,23,5,5,1,1,5,63,15,561716,WAS
John Wall,2,point guard,76,195,9/6/90,us,5,University of Kentucky,1,25,77,77,2784,572,1349,0.424,115,328,0.351,457,1021,0.448,0.467,272,344,0.791,42,337,379,789,145,59,318,159,1531,1,15851950,WAS
Kelly Oubre,12,small forward,79,205,12/9/95,us,0,University of Kansas,11,20,63,9,671,90,211,0.427,25,79,0.316,65,132,0.492,0.486,31,49,0.633,25,108,133,13,22,7,34,100,236,13,1920240,WAS
Kris Humphries,43,power forward,81,235,2/6/85,us,11,University of Minnesota,12,30,28,14,466,64,158,0.405,23,67,0.343,41,91,0.451,0.478,29,31,0.935,26,89,115,16,3,14,20,42,180,NA,NA,WAS
Marcin Gortat,13,center,83,240,2/17/84,pl,8,NA,3,31,75,74,2256,433,764,0.567,0,1,0,433,763,0.567,0.567,146,207,0.705,222,519,741,106,47,96,121,193,1012,3,11217391,WAS
Marcus Thornton,15,shooting guard,76,205,6/5/87,us,6,Louisiana State University,14,28,14,2,224,42,107,0.393,18,54,0.333,24,53,0.453,0.477,16,21,0.762,7,28,35,19,13,1,11,17,118,17,251107,WAS
Markieff Morris,5,power forward,82,245,9/2/89,us,4,University of Kansas,10,26,27,21,712,134,287,0.467,25,79,0.316,109,208,0.524,0.51,42,55,0.764,30,128,158,37,25,17,45,80,335,4,8000000,WAS
Nene Hilario,42,power forward,83,250,9/13/82,br,13,NA,8,33,57,11,1094,209,384,0.544,0,3,0,209,381,0.549,0.544,107,185,0.578,52,207,259,97,54,26,76,156,525,2,13000000,WAS
Otto Porter,22,small forward,80,198,6/3/93,us,2,Georgetown University,2,22,75,73,2276,339,717,0.473,98,267,0.367,241,450,0.536,0.541,95,126,0.754,97,294,391,120,105,32,70,163,871,7,4662960,WAS
Ramon Sessions,7,point guard,75,190,4/11/86,us,8,"University of Nevada, Reno",7,29,82,5,1667,280,592,0.473,36,111,0.324,244,481,0.507,0.503,214,283,0.756,25,178,203,239,46,5,115,102,810,11,2170465,WAS
Ryan Hollins,15,center,84,240,10/10/84,us,9,"University of California, Los Angeles",19,31,5,3,48,4,7,0.571,0,0,NA,4,7,0.571,0.571,0,0,NA,7,4,11,0,0,1,3,4,8,18,176375,WAS
